year,wimbledon_women,wimbledon_men,us_open_women,us_open_men,aus_open_women,aus_open_men,roland_garros_women,roland_garros_men
2015,1880000,1880000,3300000,3300000,3100000,3100000,1800000,1800000
2014,1760000,1760000,3000000,3000000,2650000,2650000,1650000,1650000
2013,1600000,1600000,2600000,2600000,2430000,2430000,1500000,1500000
2012,1150000,1150000,1900000,1900000,2300000,2300000,1250000,1250000
2011,1100000,1100000,1800000,1800000,2200000,2200000,1200000,1200000
2010,1000000,1000000,1700000,1700000,2100000,2100000,1120000,1120000
2009,850000,850000,1600000,1600000,2000000,2000000,1060000,1060000
2008,750000,750000,1500000,1500000,1370000,1370000,1000000,1000000
2007,700000,700000,1400000,1400000,1281000,1281000,1000000,1000000
2006,625000,655000,1200000,1200000,1220000,1220000,940000,940000
2005,600000,630000,1100000,1100000,1206620,1206620,867000,880000
2004,560500,602500,1000000,1000000,1200000,1200000,838500,860000
2003,535000,575000,1000000,1000000,1127850,1127850,819000,840000
2002,486000,525000,900000,900000,1000000,1000000,760500,780000
2001,462500,500000,850000,850000,830500,830500,4312000,4538000
2000,430000,477500,800000,800000,717000,755000,4028000,4240000
1999,409500,455000,750000,750000,679000,722000,3840000,4040000
1998,391500,435000,700000,700000,572000,615000,3624000,3852000
1997,373500,415000,650000,650000,542000,585000,3450000,3668000
1996,353000,392500,600000,600000,510000,562000,3224000,3452000
1995,328000,365000,575000,575000,480000,480000,3100000,3320000
1994,310000,345000,550000,550000,460000,460000,2930000,3160000
1993,275000,305000,535000,535000,410000,410000,2470000,2680000
1992,240000,265000,500000,500000,360000,360000,2470000,2680000
1991,216000,240000,400000,400000,320000,320000,2237000,2448000
1990,207000,230000,350000,350000,253333,266667,1762900,2226100
1989,171000,190000,300000,300000,135000,140000,1593175,1791390
1988,148500,165000,275000,275000,110000,105000,1463390,1500240
1987,139500,155000,250000,250000,115000,103875,1178840,1303800
1986,126000,140000,210000,210000,,,1278400,1397250
1985,117000,130000,187500,187500,100000,100000,1262700,1338200
1984,90000,100000,160000,160000,100000,100000,791000,1058600
1983,60000,66600,120000,120000,75000,77500,375000,500000
1982,37500,41667,90000,90000,40000,72000,300000,400000
1981,19400,21600,66000,66000,34000,64000,200000,250000
1980,18000,20000,46000,46000,32000,50015,178500,221000
1979,18000,20000,39000,39000,10000,50015,126900,208000
1978,17100,19000,38000,38000,6000,41000,100000,210000
1977,13500,15000,33000,33000,,28000,35000,190000
1976,10000,12500,30000,30000,6000,8156,30000,130000
1975,7000,10000,25000,25000,6000,9234,40000,120000
1974,7000,10000,22500,22500,6000,6500,40000,120000
1973,3000,5000,25000,25000,4500,6750,25000,70000
1972,3000,5000,10000,25000,1200,2000,13500,48000
1971,1800,3750,5000,15000,1800,9000,13500,48000
1970,1500,3000,7500,20000,,,17800,56000
1969,1500,3000,6000,16000,,,10000,35000
1968,750,2000,6000,14000,,,5000,15000